,High School,# of SAT Takers in 2014,Avg SAT Critical Reading Score in 2014,Avg SAT Math Scores in 2014,Avg SAT Writing Scores in 2014
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,59,365,365,354
14K322,FOUNDATIONS ACADEMY,5,374,372,376
14K404,ACADEMY FOR YOUNG WRITERS,67,395,362,396
14K449,"BROOKLYN LATIN SCHOOL, THE",112,573,600,583
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,34,373,356,369
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,129,384,395,372
14K477,SCHOOL FOR LEGAL STUDIES,82,390,385,373
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",146,422,445,412
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,69,385,378,384
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,87,404,419,399
14K561,WILLIAMSBURG PREPARATORY SCHOOL,141,402,406,387
14K586,LYONS COMMUNITY SCHOOL,27,361,366,346
14K610,AUTOMOTIVE HIGH SCHOOL,46,364,352,334
14K632,FRANCES PERKINS ACADEMY,12,439,391,378
14K640,HARRY VAN ARSDALE H.S.,s,s,s,s
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,31,361,331,339
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,38,353,329,346
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,78,414,389,399
15K462,SECONDARY SCHOOL FOR LAW,60,409,408,387
15K463,SECONDARY SCHOOL FOR JOURNALISM,40,391,404,383
15K464,PARK SLOPE COLLEGIATE,37,388,400,388
15K497,SCHOOL FOR INTERNATIONAL STUDIES,72,389,393,380
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,60,380,383,376
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s,s
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,6,368,337,335
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,122,418,414,412
15K667,SUNSET PARK HIGH SCHOOL,219,366,376,354
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,6,458,447,408
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,14,406,398,394
16K455,BOYS AND GIRLS HIGH SCHOOL,122,378,379,369
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,55,381,387,378
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,371,356,374
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,69,377,363,388
17K408,ACADEMY OF HOSPITALITY AND TOURISM,48,353,334,349
17K467,ERASMUS YABC,s,s,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,s,s,s,s
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,66,287,344,292
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,57,370,376,367
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",40,370,354,365
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,41,403,389,380
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,58,359,383,358
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,74,376,370,379
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",73,442,438,422
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,37,393,362,358
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,109,418,419,409
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,75,391,400,385
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,65,370,361,359
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,14,417,389,392
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,183,479,487,461
17K600,CLARA BARTON HIGH SCHOOL,233,416,405,420
17K625,PAUL ROBESON HIGH SCHOOL,11,338,335,350
18K415,SAMUEL J. TILDEN HS,5,424,374,430
18K500,CANARSIE HIGH SCHOOL,11,413,421,385
18K563,IT TAKES A VILLAGE ACADEMY,65,343,329,356
18K566,BROOKLYN GENERATION SCHOOL,41,377,372,371
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,63,364,367,355
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,42,367,366,365
18K576,VICTORY COLLEGIATE HIGH SCHOOL,55,352,340,349
18K578,BROOKLYN BRIDGE ACADEMY,15,409,391,367
18K589,ARTS & MEDIA PREPARATORY ACADEMY,36,365,351,363
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,30,404,387,395
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,40,360,339,357
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,64,406,402,407
18K635,OLYMPUS ACADEMY,28,358,337,324
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,37,373,384,361
18K642,URBAN ACTION ACADEMY,36,379,374,357
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,11,415,415,382
19K409,EAST NEW YORK FAMILY ACADEMY,44,412,414,400
19K431,THOMAS JEFFERSON YABC,s,s,s,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,38,372,349,344
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,28,345,335,349
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,53,357,361,345
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,49,373,374,386
19K583,MULTICULTURAL HIGH SCHOOL,49,308,306,317
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,140,401,403,374
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,59,379,369,363
19K639,BROOKLYN LAB SCHOOL,63,363,369,361
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,50,368,388,366
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,28,365,324,333
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",56,367,351,350
20K445,NEW UTRECHT HIGH SCHOOL,488,411,495,401
